raw_string,tax_id,supplier_name,category
Ameripan Doces,00.000.000/0001-00,Ameripan Doces,Materia_Prima
Pedágio,00.000.000/0002-00,Pedagio Diversos,Logistica
Materia Prima,00.000.000/0003-00,Fornecedor Materia Prima,Materia_Prima
Colcha,00.000.000/0004-00,Fornecedor Colcha,Materia_Prima
Oleo,00.000.000/0005-00,Fornecedor Oleo,Materia_Prima
Danilo Marcenaria,00.000.000/0006-00,Danilo Marcenaria,Manutencao
Cheque Jé Doces,00.000.000/0007-00,Je Doces,Materia_Prima
Pagamento Jé,00.000.000/0007-00,Je Doces,Materia_Prima
Alquimix,00.000.000/0008-00,Alquimix,Materia_Prima
New Etiquetas ped 864,00.000.000/0009-00,New Etiquetas,Embalagem
New Etiquetas  trufas,00.000.000/0009-00,New Etiquetas,Embalagem
New Etiq Pao de mel,00.000.000/0009-00,New Etiquetas,Embalagem
New etiquetas,00.000.000/0009-00,New Etiquetas,Embalagem
Bobina 77 kg,00.000.000/0010-00,Fornecedor Bobinas,Embalagem
Bobina 56 kg,00.000.000/0010-00,Fornecedor Bobinas,Embalagem
Bobina 120 kg,00.000.000/0010-00,Fornecedor Bobinas,Embalagem
Bobina  102 kg/94 kg,00.000.000/0010-00,Fornecedor Bobinas,Embalagem
Rolo tinta termica,00.000.000/0011-00,Fornecedor Tinta Termica,Embalagem
Acucar,00.000.000/0012-00,Fornecedor Acucar,Materia_Prima
Blocos Kalunga,61.082.004/0001-50,Kalunga,Papelaria
Papelaria,61.082.004/0001-50,Kalunga,Papelaria
Vale Nevado Choc,00.000.000/0013-00,Vale Nevado Chocolates,Materia_Prima
Comb pedágio vale nevado,00.000.000/0013-00,Vale Nevado Chocolates,Logistica
Viagem Petropolis,00.000.000/0014-00,Despesa Viagem,Logistica
Viagem Andradas Mg,00.000.000/0014-00,Despesa Viagem,Logistica
Viagem Santo Andre,00.000.000/0014-00,Despesa Viagem,Logistica
Viagem Bh,00.000.000/0014-00,Despesa Viagem,Logistica
Despesas Viagem,00.000.000/0014-00,Despesa Viagem,Logistica
Dedinho Doces,00.000.000/0015-00,Dedinho Doces,Materia_Prima
Imposto Bh St,00.000.000/0016-00,Imposto ST BH,Impostos
Produtos de Limpeza,00.000.000/0017-00,Fornecedor Limpeza,Operacional
Potes,00.000.000/0018-00,Fornecedor Potes,Embalagem
Potes 86 - 115,00.000.000/0018-00,Fornecedor Potes,Embalagem
Potes Manoel,00.000.000/0018-00,Fornecedor Potes,Embalagem
Materia Prima Andradas,00.000.000/0003-00,Fornecedor Materia Prima,Materia_Prima
Materia Prima trufas,00.000.000/0003-00,Fornecedor Materia Prima,Materia_Prima
Etanol / Diesel/ pedágio,00.000.000/0019-00,Combustivel,Logistica
Hortobor,00.000.000/0020-00,Hortobor,Materia_Prima
Horas extras,00.000.000/0021-00,Folha Pagamento,RH
Folha de Pagamento s/ reg,00.000.000/0021-00,Folha Pagamento,RH
Folha de Pagamento c/ reg,00.000.000/0021-00,Folha Pagamento,RH
Ferias,00.000.000/0021-00,Folha Pagamento,RH
Fgts Iris e Darlene Alex,00.000.000/0021-00,Folha Pagamento,RH
Acerto rescisao,00.000.000/0021-00,Folha Pagamento,RH
Vale Alimentacao e transp,00.000.000/0022-00,Vale Alimentacao,RH
Vale Funcionários,00.000.000/0022-00,Vale Alimentacao,RH
Diniz,00.000.000/0023-00,Diniz,Materia_Prima
Toca mascara alcool luva,00.000.000/0024-00,EPI Fornecedor,Operacional
Marcilei,00.000.000/0025-00,Marcilei,Servicos
Farinha,00.000.000/0026-00,Fornecedor Farinha,Materia_Prima
Andradas Farinha,00.000.000/0026-00,Fornecedor Farinha,Materia_Prima
Sal bicarbonato,00.000.000/0027-00,Fornecedor Ingredientes,Materia_Prima
Cafe,00.000.000/0028-00,Fornecedor Cafe,Operacional
Bananinha,00.000.000/0029-00,Fornecedor Bananinha,Materia_Prima
Bombeiros,00.000.000/0030-00,Corpo de Bombeiros,Fixas
Iptu Imovel,00.000.000/0031-00,Prefeitura,Impostos
Evento Prefeitura,00.000.000/0031-00,Prefeitura,Impostos
Caixa Papelao,00.000.000/0032-00,Fornecedor Embalagens,Embalagem
